Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-TG%,637,1.073 [1.032-1.116],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-TG,567,1.057 [1.010-1.107],1.000,,Triglycerides in Large VLDL
LA%,226,1.034 [0.978-1.093],1.000,,Linoleic Acid to Total-Fatty Acids percentage
L-VLDL-FC%,331,1.015 [0.974-1.057],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-TG,617,1.009 [0.974-1.046],1.000,,Triglycerides in Medium HDL
M-LDL-C,525,0.977 [0.932-1.024],1.000,,Cholesterol in Medium LDL
M-VLDL-FC%,574,0.949 [0.911-0.989],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-FC%,609,0.946 [0.908-0.985],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-C%,486,0.939 [0.891-0.989],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
Albumin,72,0.786 [0.640-0.965],1.000,,Albumin
