Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-L,442,1.523 [1.082-2.145],1.000,,Total-Lipids in Small HDL
Total-PL,628,1.251 [0.952-1.643],1.000,,Total-Phospholipids in Lipoprotein Particles
L-HDL-CE%,562,1.070 [0.781-1.466],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
TG/PG,632,1.032 [0.760-1.400],1.000,,Triglycerides to Phosphoglycerides ratio
XL-VLDL-C,639,1.006 [0.749-1.352],1.000,,Cholesterol in Very Large VLDL
M-VLDL-PL,632,1.000 [0.742-1.346],1.000,,Phospholipids in Medium VLDL
HDL-TG,593,0.951 [0.746-1.212],1.000,,Triglycerides in HDL
VLDL-P,640,0.909 [0.691-1.194],1.000,,Concentration of VLDL Particles
L-VLDL-PL%,580,0.901 [0.684-1.187],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
IDL-PL%,289,0.454 [0.317-0.652],1.000,,Phospholipids to Total-Lipids in IDL percentage
