Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Phosphoglyc,609,1.111 [1.065-1.159],0.244,,Phosphoglycerides
PUFA,699,1.104 [1.062-1.147],0.103,,Polyunsaturated Fatty Acids
Omega-3,420,1.081 [1.050-1.114],0.065,,Omega-3 Fatty Acids
M-VLDL-C,535,1.047 [1.003-1.094],1.000,,Cholesterol in Medium VLDL
S-HDL-C,410,1.021 [0.959-1.086],1.000,,Cholesterol in Small HDL
XS-VLDL-TG%,661,0.988 [0.944-1.033],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,687,0.971 [0.927-1.017],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
Phe,17,0.969 [0.746-1.258],1.000,,Phenylalanine
LA%,226,0.887 [0.845-0.931],0.297,,Linoleic Acid to Total-Fatty Acids percentage
Leu,36,0.840 [0.661-1.066],1.000,,Leucine
