Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-CE%,176,1.072 [1.046-1.098],0.006,**,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,176,1.068 [1.044-1.093],0.004,**,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetoacetate,15,1.061 [0.831-1.356],1.000,,Acetoacetate
L-VLDL-FC%,331,1.036 [1.018-1.055],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-TG%,637,1.011 [0.987-1.035],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
S-LDL-L,511,0.995 [0.973-1.018],1.000,,Total-Lipids in Small LDL
M-LDL-L,531,0.992 [0.971-1.013],1.000,,Total-Lipids in Medium LDL
VLDL-FC,630,0.972 [0.950-0.995],1.000,,Free Cholesterol in VLDL
M-HDL-L,576,0.959 [0.938-0.981],1.000,,Total-Lipids in Medium HDL
XXL-VLDL-TG%,153,0.952 [0.934-0.971],0.146,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
