Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA%,240,1.061 [1.039-1.084],0.011,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.054 [1.035-1.074],0.007,**,Degree of Unsaturation
Omega-3%,215,1.043 [1.027-1.060],0.033,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
LDL-CE,506,1.039 [1.003-1.076],1.000,,Cholesteryl Esters in LDL
LDL-FC,411,1.028 [0.992-1.064],1.000,,Free Cholesterol in LDL
M-LDL-TG%,456,0.999 [0.978-1.020],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,369,0.986 [0.961-1.011],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-LDL-PL%,271,0.976 [0.941-1.012],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,257,0.958 [0.942-0.974],0.156,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA%,226,0.924 [0.895-0.954],0.419,,Linoleic Acid to Total-Fatty Acids percentage
