Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA,635,1.395 [1.224-1.590],0.143,,Linoleic Acid
L-VLDL-TG,567,1.154 [1.003-1.329],1.000,,Triglycerides in Large VLDL
XL-VLDL-PL,607,1.113 [0.972-1.274],1.000,,Phospholipids in Very Large VLDL
HDL-size,600,1.016 [0.911-1.133],1.000,,Average Diameter for HDL Particles
L-HDL-TG%,637,1.009 [0.896-1.136],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
XL-VLDL-TG%,444,0.962 [0.813-1.140],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-LDL-FC%,578,0.936 [0.830-1.056],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-PL%,382,0.935 [0.821-1.064],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,661,0.891 [0.781-1.015],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-FC%,173,0.833 [0.672-1.031],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
