Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
His,43,1.113 [0.843-1.468],1.000,,Histidine
DHA,289,1.083 [1.037-1.130],1.000,,Docosahexaenoic Acid
M-HDL-P,598,1.062 [1.006-1.121],1.000,,Concentration of Medium HDL Particles
Leu,36,1.018 [0.789-1.314],1.000,,Leucine
M-VLDL-C%,604,1.004 [0.946-1.066],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
Phosphoglyc,609,0.993 [0.945-1.043],1.000,,Phosphoglycerides
L-VLDL-TG,567,0.974 [0.920-1.031],1.000,,Triglycerides in Large VLDL
Total-TG,641,0.963 [0.913-1.015],1.000,,Total-Triglycerides
Omega-6,651,0.939 [0.893-0.988],1.000,,Omega-6 Fatty Acids
Non-HDL-C,563,0.934 [0.885-0.986],1.000,,Total-Cholesterol Minus HDL-C
