Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.923 [1.440-2.568],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
L-HDL-PL,598,1.043 [0.995-1.093],1.000,,Phospholipids in Large HDL
XXL-VLDL-TG%,153,1.033 [0.962-1.110],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-PL,591,1.019 [0.930-1.117],1.000,,Phospholipids in IDL
M-VLDL-PL%,523,1.011 [0.969-1.054],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
PUFA,699,0.557 [0.448-0.693],0.038,*,Polyunsaturated Fatty Acids
Total-FA,654,0.525 [0.413-0.667],0.034,*,Total-Fatty Acids
Omega-6,651,0.516 [0.403-0.661],0.041,*,Omega-6 Fatty Acids
LA,635,0.501 [0.389-0.646],0.021,*,Linoleic Acid
MUFA,654,0.486 [0.380-0.622],0.002,**,Monounsaturated Fatty Acids
S-HDL-PL,489,0.395 [0.280-0.557],0.028,*,Phospholipids in Small HDL
GlycA,385,0.251 [0.159-0.395],5.933e-04,***,Glycoprotein Acetyls
