Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-CE,553,1.073 [1.031-1.116],1.000,,Cholesteryl Esters in IDL
PUFA/MUFA,484,1.052 [1.010-1.095],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-CE,620,1.049 [1.014-1.086],1.000,,Cholesteryl Esters in Very Small VLDL
XL-HDL-L,598,1.047 [1.017-1.078],1.000,,Total-Lipids in Very Large HDL
LDL-C,476,1.043 [0.994-1.094],1.000,,LDL Cholesterol
VLDL-CE,621,0.986 [0.941-1.034],1.000,,Cholesteryl Esters in VLDL
M-VLDL-P,612,0.981 [0.933-1.031],1.000,,Concentration of Medium VLDL Particles
S-HDL-CE%,367,0.980 [0.950-1.010],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Gly,134,0.979 [0.931-1.029],1.000,,Glycine
GlycA,385,0.686 [0.607-0.775],3.184e-04,***,Glycoprotein Acetyls
