Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-VLDL-TG,567,1.102 [0.875-1.386],1.000,,Triglycerides in Large VLDL
XL-VLDL-TG,570,1.064 [0.855-1.323],1.000,,Triglycerides in Very Large VLDL
VLDL-size,604,1.026 [0.866-1.216],1.000,,Average Diameter for VLDL Particles
L-VLDL-FC%,331,1.002 [0.830-1.210],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-CE,502,1.001 [0.793-1.264],1.000,,Cholesteryl Esters in Large LDL
PUFA,699,0.299 [0.204-0.439],1.593e-04,***,Polyunsaturated Fatty Acids
Total-FA,654,0.288 [0.189-0.438],0.002,**,Total-Fatty Acids
MUFA,654,0.274 [0.178-0.423],0.001,**,Monounsaturated Fatty Acids
LA,635,0.273 [0.175-0.424],0.002,**,Linoleic Acid
Omega-6,651,0.264 [0.172-0.405],2.921e-04,***,Omega-6 Fatty Acids
S-HDL-PL,489,0.196 [0.110-0.351],0.009,**,Phospholipids in Small HDL
S-HDL-L,442,0.196 [0.107-0.361],0.039,*,Total-Lipids in Small HDL
S-HDL-FC,483,0.179 [0.100-0.317],0.001,**,Free Cholesterol in Small HDL
3-Hydroxybutyrate,68,0.154 [0.078-0.304],0.016,*,3-Hydroxybutyrate
GlycA,385,0.087 [0.041-0.185],5.017e-05,***,Glycoprotein Acetyls
