Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetate,13,2.841 [1.092-7.390],1.000,,Acetate
Tyr,120,1.097 [0.814-1.477],1.000,,Tyrosine
S-VLDL-C%,527,1.022 [0.957-1.092],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6/Omega-3,257,1.014 [0.953-1.080],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-VLDL-FC%,574,1.007 [0.942-1.075],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
DHA,289,0.993 [0.928-1.063],1.000,,Docosahexaenoic Acid
Omega-3,420,0.982 [0.932-1.035],1.000,,Omega-3 Fatty Acids
L-VLDL-C,622,0.977 [0.903-1.057],1.000,,Cholesterol in Large VLDL
L-VLDL-P,622,0.960 [0.887-1.040],1.000,,Concentration of Large VLDL Particles
Remnant-C,577,0.898 [0.831-0.971],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
