Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.137 [1.057-1.224],1.000,,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-PL%,261,1.115 [1.031-1.205],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
ApoA1,587,1.039 [0.984-1.098],1.000,,Apolipoprotein A1
Cholines,620,1.032 [0.980-1.087],1.000,,Total-Cholines
XL-HDL-C%,306,1.002 [0.956-1.050],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-L,598,0.977 [0.935-1.020],1.000,,Total-Lipids in Very Large HDL
XL-HDL-PL,562,0.977 [0.936-1.020],1.000,,Phospholipids in Very Large HDL
S-VLDL-PL%,600,0.966 [0.914-1.021],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
VLDL-CE,621,0.957 [0.912-1.005],1.000,,Cholesteryl Esters in VLDL
Non-HDL-C,563,0.927 [0.877-0.980],1.000,,Total-Cholesterol Minus HDL-C
