Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.368 [1.224-1.528],0.007,**,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,484,1.325 [1.216-1.444],3.244e-05,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-LDL-FC%,687,1.304 [1.199-1.419],1.696e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-CE%,597,1.298 [1.178-1.429],0.029,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,604,1.295 [1.177-1.425],0.028,*,Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,642,1.295 [1.186-1.414],0.002,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,644,1.294 [1.185-1.413],0.002,**,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-LDL-FC%,651,1.245 [1.147-1.350],0.033,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-TG,687,0.814 [0.754-0.879],0.040,*,Triglycerides in Small VLDL
VLDL-size,604,0.799 [0.737-0.867],0.014,*,Average Diameter for VLDL Particles
MUFA,654,0.797 [0.734-0.866],0.016,*,Monounsaturated Fatty Acids
L-VLDL-FC,648,0.797 [0.733-0.866],0.023,*,Free Cholesterol in Large VLDL
L-VLDL-PL,637,0.797 [0.733-0.866],0.019,*,Phospholipids in Large VLDL
L-VLDL-L,609,0.795 [0.729-0.866],0.040,*,Total-Lipids in Large VLDL
L-VLDL-P,622,0.794 [0.730-0.864],0.021,*,Concentration of Large VLDL Particles
TG/PG,632,0.790 [0.725-0.861],0.021,*,Triglycerides to Phosphoglycerides ratio
VLDL-TG,582,0.789 [0.724-0.860],0.017,*,Triglycerides in VLDL
XS-VLDL-TG%,661,0.789 [0.724-0.861],0.019,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,525,0.769 [0.712-0.831],8.062e-06,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
