Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-CE,360,1.113 [0.986-1.256],1.000,,Cholesteryl Esters in Small HDL
Ile,28,1.064 [0.575-1.971],1.000,,Isoleucine
L-LDL-TG%,474,1.022 [0.940-1.111],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
XXL-VLDL-C,589,1.011 [0.923-1.107],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
Total-FA,654,1.001 [0.918-1.092],1.000,,Total-Fatty Acids
XS-VLDL-PL%,375,0.980 [0.868-1.106],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,687,0.954 [0.872-1.044],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-PL,409,0.904 [0.827-0.988],1.000,,Phospholipids in Small LDL
S-VLDL-CE%,509,0.794 [0.723-0.873],0.448,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Acetone,15,0.729 [0.366-1.451],1.000,,Acetone
