Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Pyruvate,37,1.160 [0.893-1.506],1.000,,Pyruvate
XXL-VLDL-PL%,261,1.125 [1.025-1.235],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6/Omega-3,257,1.106 [1.060-1.155],0.982,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
TG/PG,632,1.065 [1.000-1.134],1.000,,Triglycerides to Phosphoglycerides ratio
Leu,36,1.013 [0.758-1.354],1.000,,Leucine
Omega-3%,215,0.904 [0.871-0.939],0.052,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,0.880 [0.841-0.921],0.007,**,Omega-3 Fatty Acids
Unsaturation,310,0.878 [0.840-0.918],0.002,**,Degree of Unsaturation
DHA%,240,0.852 [0.805-0.901],0.006,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
LDL-FC,411,0.844 [0.792-0.899],0.040,*,Free Cholesterol in LDL
