Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.052 [1.016-1.090],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
LDL-FC,411,1.042 [1.006-1.079],1.000,,Free Cholesterol in LDL
LA%,226,1.012 [0.975-1.052],1.000,,Linoleic Acid to Total-Fatty Acids percentage
M-VLDL-FC%,574,1.003 [0.969-1.038],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XXL-VLDL-CE,621,1.001 [0.969-1.033],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XS-VLDL-L,632,0.992 [0.967-1.017],1.000,,Total-Lipids in Very Small VLDL
S-VLDL-TG%,564,0.983 [0.949-1.019],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,375,0.982 [0.941-1.025],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
Tyr,120,0.982 [0.895-1.077],1.000,,Tyrosine
LDL-TG,630,0.979 [0.952-1.006],1.000,,Triglycerides in LDL
