Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA/MUFA,484,1.126 [0.978-1.296],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-6%,366,1.102 [0.937-1.297],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-VLDL-PL%,600,1.075 [0.953-1.214],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-FC%,547,1.075 [0.953-1.212],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-FC%,331,1.013 [0.887-1.158],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
Total-FA,654,0.636 [0.532-0.760],0.147,,Total-Fatty Acids
Omega-6,651,0.635 [0.527-0.765],0.396,,Omega-6 Fatty Acids
MUFA,654,0.624 [0.521-0.748],0.084,,Monounsaturated Fatty Acids
LA,635,0.589 [0.488-0.711],0.008,**,Linoleic Acid
GlycA,385,0.432 [0.319-0.584],0.013,*,Glycoprotein Acetyls
