Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-FC%,609,1.018 [1.002-1.036],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-FC,599,1.010 [0.989-1.031],1.000,,Free Cholesterol in HDL
PUFA%,371,1.008 [0.986-1.031],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
ApoA1,587,1.004 [0.979-1.029],1.000,,Apolipoprotein A1
S-VLDL-PL%,600,1.003 [0.986-1.021],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
XL-VLDL-C,639,0.954 [0.936-0.972],0.205,,Cholesterol in Very Large VLDL
XL-VLDL-CE,617,0.952 [0.934-0.971],0.117,,Cholesteryl Esters in Very Large VLDL
VLDL-L,623,0.950 [0.931-0.970],0.230,,Total-Lipids in VLDL
VLDL-PL,674,0.950 [0.931-0.969],0.163,,Phospholipids in VLDL
L-VLDL-CE,614,0.949 [0.930-0.968],0.042,*,Cholesteryl Esters in Large VLDL
