Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-PL%,382,1.070 [1.041-1.100],0.271,,Phospholipids to Total-Lipids in Large LDL percentage
Gly,134,1.025 [0.997-1.053],1.000,,Glycine
3-Hydroxybutyrate,68,1.022 [0.943-1.107],1.000,,3-Hydroxybutyrate
XS-VLDL-C%,642,1.008 [0.982-1.035],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-3%,215,1.004 [0.989-1.021],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA,699,0.936 [0.913-0.959],0.032,*,Polyunsaturated Fatty Acids
MUFA,654,0.926 [0.899-0.955],0.201,,Monounsaturated Fatty Acids
Omega-6,651,0.923 [0.898-0.949],0.003,**,Omega-6 Fatty Acids
LA,635,0.918 [0.893-0.944],3.689e-04,***,Linoleic Acid
L-LDL-CE%,344,0.907 [0.875-0.942],0.065,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
