Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-CE%,420,1.138 [1.076-1.202],1.000,,Cholesteryl Esters to Total-Lipids in IDL percentage
XXL-VLDL-C%,176,1.049 [0.959-1.148],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-CE%,367,1.033 [0.986-1.082],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,257,1.010 [0.969-1.053],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LDL-CE,506,1.003 [0.948-1.062],1.000,,Cholesteryl Esters in LDL
S-LDL-L,511,0.993 [0.939-1.049],1.000,,Total-Lipids in Small LDL
XXL-VLDL-PL%,261,0.952 [0.881-1.028],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Total-TG,641,0.921 [0.870-0.975],1.000,,Total-Triglycerides
XXL-VLDL-PL,556,0.900 [0.849-0.955],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
XS-VLDL-PL%,375,0.873 [0.811-0.939],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
