Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-PL%,489,1.188 [1.115-1.266],0.023,*,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-PL%,289,1.141 [1.070-1.216],1.000,,Phospholipids to Total-Lipids in IDL percentage
L-LDL-PL%,382,1.098 [1.030-1.170],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-VLDL-PL,637,1.083 [1.018-1.153],1.000,,Phospholipids in Large VLDL
S-VLDL-L,665,1.020 [0.960-1.083],1.000,,Total-Lipids in Small VLDL
PUFA,699,0.930 [0.878-0.985],1.000,,Polyunsaturated Fatty Acids
M-HDL-FC,597,0.904 [0.852-0.959],1.000,,Free Cholesterol in Medium HDL
S-HDL-C%,436,0.881 [0.836-0.929],0.545,,Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-C%,632,0.879 [0.834-0.926],0.363,,Cholesterol to Total-Lipids in Medium HDL percentage
Lactate,22,0.873 [0.591-1.288],1.000,,Lactate
