Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-C%,176,1.053 [1.016-1.092],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-CE%,545,1.030 [1.003-1.057],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-HDL-TG,617,1.023 [1.002-1.044],1.000,,Triglycerides in Medium HDL
S-LDL-CE,543,1.009 [0.980-1.038],1.000,,Cholesteryl Esters in Small LDL
S-VLDL-TG,687,1.003 [0.980-1.026],1.000,,Triglycerides in Small VLDL
L-HDL-CE%,562,0.997 [0.973-1.022],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-VLDL-PL,637,0.994 [0.969-1.019],1.000,,Phospholipids in Large VLDL
ApoB/ApoA1,542,0.991 [0.966-1.016],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Ala,85,0.987 [0.919-1.059],1.000,,Alanine
VLDL-size,604,0.972 [0.950-0.994],1.000,,Average Diameter for VLDL Particles
