Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-PL%,382,1.033 [1.011-1.055],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
XXL-VLDL-C%,176,1.024 [1.000-1.049],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-CE%,176,1.021 [0.996-1.046],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gly,134,1.012 [0.992-1.032],1.000,,Glycine
S-HDL-CE%,367,1.006 [0.993-1.020],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-VLDL-P,599,0.977 [0.959-0.996],1.000,,Concentration of Very Large VLDL Particles
PUFA,699,0.955 [0.938-0.973],0.354,,Polyunsaturated Fatty Acids
Total-FA,654,0.953 [0.934-0.972],0.703,,Total-Fatty Acids
Omega-6,651,0.951 [0.932-0.971],0.397,,Omega-6 Fatty Acids
LA,635,0.949 [0.930-0.969],0.145,,Linoleic Acid
