Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Val,50,1.058 [0.959-1.167],1.000,,Valine
S-LDL-PL,409,1.031 [1.001-1.062],1.000,,Phospholipids in Small LDL
LDL-size,178,1.023 [0.959-1.091],1.000,,Average Diameter for LDL Particles
LDL-L,502,1.023 [0.991-1.057],1.000,,Total-Lipids in LDL
LDL-C,476,1.023 [0.991-1.056],1.000,,LDL Cholesterol
IDL-TG,602,1.000 [0.980-1.020],1.000,,Triglycerides in IDL
XL-HDL-C,653,0.994 [0.969-1.019],1.000,,Cholesterol in Very Large HDL
XS-VLDL-PL%,375,0.973 [0.938-1.008],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
Unsaturation,310,0.969 [0.950-0.989],1.000,,Degree of Unsaturation
Creatinine,126,0.787 [0.708-0.874],1.000,,Creatinine
