Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.089 [0.995-1.191],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-C%,436,1.051 [0.978-1.129],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-P,529,1.044 [0.959-1.136],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
IDL-CE%,420,1.040 [0.960-1.126],1.000,,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,558,1.022 [0.950-1.098],1.000,,Cholesterol to Total-Lipids in IDL percentage
XL-VLDL-C,639,0.994 [0.919-1.074],1.000,,Cholesterol in Very Large VLDL
L-HDL-PL,598,0.987 [0.922-1.056],1.000,,Phospholipids in Large HDL
L-VLDL-FC%,331,0.973 [0.892-1.063],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
XS-VLDL-FC%,460,0.972 [0.883-1.071],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
HDL-FC,599,0.955 [0.890-1.025],1.000,,Free Cholesterol in HDL
