Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-C%,403,1.074 [0.985-1.171],1.000,,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-C,671,1.071 [1.004-1.142],1.000,,Cholesterol in Large HDL
ApoA1,587,1.062 [0.984-1.145],1.000,,Apolipoprotein A1
S-VLDL-PL%,600,1.052 [0.975-1.135],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-PL%,510,1.047 [0.966-1.134],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-FC%,491,0.984 [0.932-1.038],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-C,489,0.949 [0.877-1.026],1.000,,Cholesterol in Small LDL
IDL-TG%,635,0.947 [0.885-1.013],1.000,,Triglycerides to Total-Lipids in IDL percentage
XL-VLDL-FC%,397,0.946 [0.857-1.044],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-TG%,637,0.922 [0.862-0.986],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
