Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Glu,32,1.156 [0.915-1.462],1.000,,Glucose
XL-HDL-CE,664,1.041 [1.003-1.081],1.000,,Cholesteryl Esters in Very Large HDL
LDL-PL,473,1.020 [0.977-1.065],1.000,,Phospholipids in LDL
LDL-TG,630,1.018 [0.981-1.056],1.000,,Triglycerides in LDL
Albumin,72,1.005 [0.859-1.175],1.000,,Albumin
XL-VLDL-TG%,444,0.992 [0.941-1.046],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-VLDL-TG%,564,0.990 [0.948-1.034],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
S-VLDL-PL,664,0.976 [0.939-1.016],1.000,,Phospholipids in Small VLDL
Omega-6/Omega-3,257,0.972 [0.945-0.999],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
TG/PG,632,0.958 [0.913-1.006],1.000,,Triglycerides to Phosphoglycerides ratio
