Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-CE%,420,1.022 [1.004-1.040],1.000,,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C,568,1.016 [0.998-1.035],1.000,,Cholesterol in IDL
S-VLDL-C%,527,1.016 [0.995-1.037],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-L,573,1.014 [0.996-1.031],1.000,,Total-Lipids in IDL
IDL-PL,591,1.008 [0.991-1.024],1.000,,Phospholipids in IDL
XL-VLDL-TG%,444,0.998 [0.973-1.024],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-VLDL-L,609,0.995 [0.977-1.014],1.000,,Total-Lipids in Large VLDL
XXL-VLDL-CE,621,0.994 [0.977-1.012],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
IDL-TG%,635,0.982 [0.965-0.999],1.000,,Triglycerides to Total-Lipids in IDL percentage
L-HDL-TG%,637,0.977 [0.960-0.994],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
