Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Glu,32,1.130 [0.857-1.488],1.000,,Glucose
Acetate,13,1.077 [0.764-1.517],1.000,,Acetate
M-HDL-FC,597,1.057 [1.015-1.100],1.000,,Free Cholesterol in Medium HDL
M-HDL-CE,607,1.046 [1.002-1.091],1.000,,Cholesteryl Esters in Medium HDL
L-HDL-L,623,1.011 [0.979-1.045],1.000,,Total-Lipids in Large HDL
Total-CE,575,0.990 [0.946-1.036],1.000,,Total-Esterified Cholesterol
S-VLDL-L,665,0.989 [0.951-1.028],1.000,,Total-Lipids in Small VLDL
S-LDL-FC,410,0.988 [0.946-1.032],1.000,,Free Cholesterol in Small LDL
M-VLDL-TG,613,0.980 [0.942-1.019],1.000,,Triglycerides in Medium VLDL
LDL-CE,506,0.967 [0.925-1.011],1.000,,Cholesteryl Esters in LDL
