Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-FC%,460,1.481 [1.323-1.657],1.886e-06,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-PL%,382,1.434 [1.264-1.626],0.005,**,Phospholipids to Total-Lipids in Large LDL percentage
L-LDL-FC%,687,1.352 [1.223-1.495],8.608e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
PUFA%,371,1.325 [1.194-1.469],0.026,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,332,1.320 [1.193-1.462],0.020,*,Free Cholesterol to Total-Lipids in IDL percentage
XL-VLDL-C%,486,1.302 [1.179-1.438],0.047,*,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-C%,527,1.294 [1.191-1.405],2.515e-04,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-VLDL-C%,395,1.287 [1.179-1.406],0.005,**,Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-CE%,509,1.268 [1.168-1.376],0.003,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
PUFA/MUFA,484,1.253 [1.152-1.362],0.031,*,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-C%,642,1.236 [1.144-1.337],0.023,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
DHA%,240,1.233 [1.145-1.327],0.006,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.181 [1.115-1.252],0.004,**,Degree of Unsaturation
S-VLDL-TG%,564,0.787 [0.725-0.855],0.003,**,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,661,0.783 [0.721-0.850],0.001,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,525,0.770 [0.706-0.840],9.352e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG%,444,0.741 [0.670-0.819],0.001,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
LA,635,0.709 [0.632-0.796],0.001,**,Linoleic Acid
MUFA,654,0.695 [0.620-0.779],9.974e-05,***,Monounsaturated Fatty Acids
GlycA,385,0.568 [0.468-0.689],0.002,**,Glycoprotein Acetyls
