Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-TG%,609,1.044 [0.973-1.120],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-C%,225,1.028 [0.949-1.114],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-FC%,173,1.017 [0.936-1.104],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-TG%,642,1.011 [0.961-1.063],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-TG%,153,1.001 [0.928-1.081],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-PL,664,0.998 [0.937-1.063],1.000,,Phospholipids in Small VLDL
L-HDL-PL%,508,0.994 [0.930-1.062],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
M-VLDL-PL,632,0.992 [0.928-1.059],1.000,,Phospholipids in Medium VLDL
PUFA/MUFA,484,0.986 [0.934-1.040],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-FC%,491,0.984 [0.938-1.033],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
