Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetoacetate,15,1.072 [0.667-1.724],1.000,,Acetoacetate
Unsaturation,310,1.068 [1.020-1.120],1.000,,Degree of Unsaturation
M-LDL-CE%,368,1.055 [0.937-1.186],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
HDL-size,600,1.036 [0.982-1.092],1.000,,Average Diameter for HDL Particles
L-HDL-L,623,1.033 [0.977-1.093],1.000,,Total-Lipids in Large HDL
Omega-6,651,0.597 [0.488-0.731],0.145,,Omega-6 Fatty Acids
MUFA,654,0.578 [0.472-0.708],0.030,*,Monounsaturated Fatty Acids
LA,635,0.570 [0.464-0.701],0.022,*,Linoleic Acid
S-HDL-FC,483,0.495 [0.375-0.653],0.162,,Free Cholesterol in Small HDL
GlycA,385,0.357 [0.247-0.516],0.010,**,Glycoprotein Acetyls
