Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-C,525,1.061 [1.013-1.112],1.000,,Cholesterol in Medium LDL
LDL-PL,473,1.052 [1.005-1.100],1.000,,Phospholipids in LDL
M-VLDL-CE,487,1.051 [1.001-1.103],1.000,,Cholesteryl Esters in Medium VLDL
HDL-C,621,1.017 [0.969-1.068],1.000,,HDL Cholesterol
XXL-VLDL-P,529,1.012 [0.959-1.068],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-HDL-FC%,491,0.997 [0.966-1.028],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-C,410,0.994 [0.940-1.051],1.000,,Cholesterol in Small HDL
S-HDL-CE%,367,0.986 [0.950-1.023],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
3-Hydroxybutyrate,68,0.985 [0.781-1.243],1.000,,3-Hydroxybutyrate
M-HDL-CE%,557,0.979 [0.934-1.026],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
