Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-TG%,657,1.109 [0.986-1.247],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-PL,607,1.057 [0.919-1.217],1.000,,Phospholipids in Very Large VLDL
L-VLDL-C%,395,1.046 [0.898-1.219],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
XL-VLDL-FC,610,1.027 [0.891-1.183],1.000,,Free Cholesterol in Very Large VLDL
VLDL-L,623,1.024 [0.886-1.184],1.000,,Total-Lipids in VLDL
XL-VLDL-PL%,398,0.993 [0.849-1.161],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
IDL-L,573,0.992 [0.870-1.132],1.000,,Total-Lipids in IDL
M-LDL-FC,407,0.948 [0.819-1.098],1.000,,Free Cholesterol in Medium LDL
Total-FC,546,0.946 [0.824-1.085],1.000,,Total-Free Cholesterol
GlycA,385,0.552 [0.433-0.705],0.469,,Glycoprotein Acetyls
