Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-L,514,1.081 [1.005-1.163],1.000,,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-CE,617,1.081 [1.016-1.149],1.000,,Cholesteryl Esters in Very Large VLDL
S-HDL-FC,483,1.040 [0.967-1.119],1.000,,Free Cholesterol in Small HDL
M-LDL-L,531,1.024 [0.955-1.098],1.000,,Total-Lipids in Medium LDL
Total-P,531,1.015 [0.943-1.091],1.000,,Total-Concentration of Lipoprotein Particles
S-LDL-C%,261,0.990 [0.895-1.094],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-CE,664,0.988 [0.935-1.044],1.000,,Cholesteryl Esters in Very Large HDL
GlycA,385,0.962 [0.879-1.053],1.000,,Glycoprotein Acetyls
L-HDL-CE%,562,0.952 [0.892-1.016],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-PL%,271,0.856 [0.785-0.933],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
