Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetate,13,1.386 [0.885-2.169],1.000,,Acetate
IDL-PL%,289,1.119 [1.067-1.173],0.810,,Phospholipids to Total-Lipids in IDL percentage
M-VLDL-TG%,609,1.046 [0.993-1.101],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-TG%,642,1.027 [0.981-1.075],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
IDL-TG,602,1.014 [0.984-1.044],1.000,,Triglycerides in IDL
Gly,134,0.987 [0.936-1.039],1.000,,Glycine
L-LDL-C,488,0.951 [0.911-0.993],1.000,,Cholesterol in Large LDL
LA%,226,0.946 [0.902-0.992],1.000,,Linoleic Acid to Total-Fatty Acids percentage
IDL-C%,558,0.942 [0.904-0.982],1.000,,Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC,474,0.934 [0.895-0.974],1.000,,Free Cholesterol in Large LDL
