Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-C,410,1.079 [1.047-1.113],0.316,,Cholesterol in Small HDL
S-HDL-PL,489,1.072 [1.043-1.101],0.138,,Phospholipids in Small HDL
S-HDL-L,442,1.071 [1.042-1.102],0.326,,Total-Lipids in Small HDL
M-HDL-C%,632,1.016 [0.991-1.042],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
XXL-VLDL-P,529,1.009 [0.981-1.038],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
M-LDL-C,525,0.989 [0.963-1.016],1.000,,Cholesterol in Medium LDL
M-LDL-L,531,0.989 [0.963-1.016],1.000,,Total-Lipids in Medium LDL
S-HDL-TG%,677,0.986 [0.964-1.010],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-PL%,375,0.962 [0.933-0.992],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
Acetone,15,0.867 [0.729-1.031],1.000,,Acetone
