Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-PL%,382,1.257 [1.147-1.377],0.246,,Phospholipids to Total-Lipids in Large LDL percentage
L-VLDL-CE%,492,1.147 [1.053-1.249],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XS-VLDL-C%,642,1.083 [1.004-1.169],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-6%,366,1.079 [0.968-1.203],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,271,1.013 [0.916-1.120],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-TG,681,0.934 [0.864-1.009],1.000,,Triglycerides in Small HDL
XXL-VLDL-P,529,0.924 [0.849-1.006],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
HDL-PL,590,0.899 [0.829-0.976],1.000,,Phospholipids in HDL
Total-P,531,0.872 [0.786-0.968],1.000,,Total-Concentration of Lipoprotein Particles
LA,635,0.793 [0.726-0.866],0.052,,Linoleic Acid
