Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Citrate,102,1.426 [0.843-2.410],1.000,,Citrate
XS-VLDL-FC%,460,1.337 [1.073-1.664],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-C%,395,1.301 [1.052-1.610],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-CE%,367,1.114 [0.949-1.309],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Acetate,13,1.060 [0.163-6.889],1.000,,Acetate
L-LDL-TG%,474,0.962 [0.808-1.146],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
IDL-CE,553,0.877 [0.722-1.066],1.000,,Cholesteryl Esters in IDL
LDL-TG,630,0.839 [0.716-0.983],1.000,,Triglycerides in LDL
M-VLDL-C,535,0.832 [0.683-1.015],1.000,,Cholesterol in Medium VLDL
S-VLDL-TG,687,0.723 [0.606-0.862],1.000,,Triglycerides in Small VLDL
