Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-PL%,398,1.649 [1.362-1.995],0.069,,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC,594,1.460 [1.247-1.709],0.615,,Free Cholesterol in Medium VLDL
ApoB/ApoA1,542,1.441 [1.248-1.664],0.158,,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-CE,487,1.411 [1.221-1.631],0.742,,Cholesteryl Esters in Medium VLDL
VLDL-FC,630,1.404 [1.198-1.644],1.000,,Free Cholesterol in VLDL
IDL-C%,558,0.969 [0.842-1.117],1.000,,Cholesterol to Total-Lipids in IDL percentage
XL-HDL-PL,562,0.961 [0.852-1.085],1.000,,Phospholipids in Very Large HDL
Gly,134,0.907 [0.783-1.050],1.000,,Glycine
HDL-P,547,0.799 [0.695-0.920],1.000,,Concentration of HDL Particles
XL-VLDL-TG%,444,0.783 [0.639-0.959],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
