Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.019 [0.998-1.040],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-VLDL-C%,604,1.018 [0.996-1.040],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
Omega-6%,366,1.016 [0.988-1.044],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-C,589,1.004 [0.985-1.023],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
L-HDL-FC%,532,1.002 [0.985-1.020],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-PL%,441,0.992 [0.973-1.010],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
S-LDL-TG%,594,0.989 [0.972-1.006],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-C,671,0.987 [0.970-1.004],1.000,,Cholesterol in Large HDL
M-HDL-CE,607,0.974 [0.954-0.995],1.000,,Cholesteryl Esters in Medium HDL
Total-P,531,0.968 [0.947-0.989],1.000,,Total-Concentration of Lipoprotein Particles
