Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-FC,483,1.188 [0.973-1.451],1.000,,Free Cholesterol in Small HDL
PC,606,1.120 [0.971-1.293],1.000,,Phosphatidylcholines
XS-VLDL-CE%,644,1.101 [1.006-1.205],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,642,1.081 [0.990-1.181],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-PL%,441,1.042 [0.984-1.103],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
IDL-TG%,635,0.963 [0.867-1.070],1.000,,Triglycerides to Total-Lipids in IDL percentage
Clinical LDL-C,463,0.953 [0.824-1.102],1.000,,Clinical LDL Cholesterol
S-LDL-C,489,0.941 [0.810-1.092],1.000,,Cholesterol in Small LDL
S-LDL-CE,543,0.924 [0.793-1.076],1.000,,Cholesteryl Esters in Small LDL
VLDL-L,623,0.877 [0.758-1.014],1.000,,Total-Lipids in VLDL
