Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-TG%,609,1.129 [1.007-1.265],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
HDL-FC,599,1.084 [0.984-1.193],1.000,,Free Cholesterol in HDL
Remnant-C,577,1.063 [0.955-1.182],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XL-VLDL-FC,610,1.059 [0.945-1.185],1.000,,Free Cholesterol in Very Large VLDL
M-LDL-FC,407,1.041 [0.928-1.168],1.000,,Free Cholesterol in Medium LDL
L-VLDL-FC%,331,0.918 [0.815-1.034],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
XS-VLDL-CE%,644,0.870 [0.782-0.968],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Omega-6%,366,0.826 [0.713-0.956],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
LA%,226,0.818 [0.719-0.931],1.000,,Linoleic Acid to Total-Fatty Acids percentage
Acetate,13,0.754 [0.218-2.604],1.000,,Acetate
