Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Ile,28,1.219 [1.053-1.412],1.000,,Isoleucine
Acetoacetate,15,1.165 [0.981-1.384],1.000,,Acetoacetate
Val,50,1.048 [0.960-1.144],1.000,,Valine
TG/PG,632,1.009 [0.987-1.032],1.000,,Triglycerides to Phosphoglycerides ratio
Total-TG,641,1.000 [0.979-1.022],1.000,,Total-Triglycerides
IDL-PL%,289,0.995 [0.970-1.021],1.000,,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-P,581,0.980 [0.962-0.998],1.000,,Concentration of Very Large HDL Particles
XXL-VLDL-CE%,176,0.980 [0.944-1.017],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-L,576,0.969 [0.947-0.992],1.000,,Total-Lipids in Medium HDL
IDL-FC%,332,0.969 [0.942-0.997],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
