Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Gly,134,1.032 [1.014-1.050],1.000,,Glycine
XXL-VLDL-CE%,176,1.010 [0.981-1.039],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-PL%,508,1.004 [0.986-1.023],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
Omega-3,420,1.002 [0.990-1.013],1.000,,Omega-3 Fatty Acids
IDL-FC%,332,1.001 [0.979-1.025],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
Phe,17,0.999 [0.895-1.115],1.000,,Phenylalanine
IDL-TG,602,0.981 [0.968-0.994],1.000,,Triglycerides in IDL
XXL-VLDL-P,529,0.970 [0.952-0.988],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-VLDL-P,669,0.969 [0.954-0.985],1.000,,Concentration of Small VLDL Particles
MUFA,654,0.957 [0.940-0.975],0.528,,Monounsaturated Fatty Acids
