Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-C,410,1.137 [1.082-1.194],0.072,,Cholesterol in Small HDL
LA,635,1.137 [1.087-1.188],0.004,**,Linoleic Acid
Omega-6,651,1.123 [1.075-1.174],0.051,,Omega-6 Fatty Acids
S-LDL-FC,410,1.096 [1.054-1.140],0.989,,Free Cholesterol in Small LDL
L-LDL-FC,474,1.091 [1.046-1.138],1.000,,Free Cholesterol in Large LDL
Gln,113,0.998 [0.941-1.059],1.000,,Glutamine
VLDL-L,623,0.990 [0.952-1.029],1.000,,Total-Lipids in VLDL
L-VLDL-CE,614,0.988 [0.951-1.027],1.000,,Cholesteryl Esters in Large VLDL
XXL-VLDL-TG,472,0.962 [0.926-1.000],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,556,0.961 [0.928-0.995],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
