Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Ala,85,1.076 [0.990-1.169],1.000,,Alanine
Omega-6/Omega-3,257,1.070 [1.044-1.096],0.013,*,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-VLDL-TG%,564,1.060 [1.022-1.100],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,594,1.039 [1.005-1.075],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
XXL-VLDL-TG%,153,1.015 [0.971-1.062],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3%,215,0.934 [0.913-0.956],0.002,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.928 [0.902-0.954],0.038,*,Degree of Unsaturation
Omega-3,420,0.927 [0.905-0.949],1.042e-04,***,Omega-3 Fatty Acids
DHA,289,0.926 [0.900-0.953],0.037,*,Docosahexaenoic Acid
PUFA,699,0.920 [0.892-0.948],0.017,*,Polyunsaturated Fatty Acids
