Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Pyruvate,37,1.214 [0.866-1.701],1.000,,Pyruvate
M-LDL-FC,407,1.044 [0.968-1.126],1.000,,Free Cholesterol in Medium LDL
XL-VLDL-C%,486,1.026 [0.935-1.126],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
LDL-CE,506,1.023 [0.950-1.102],1.000,,Cholesteryl Esters in LDL
XL-VLDL-TG%,444,1.011 [0.924-1.106],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
Clinical LDL-C,463,0.999 [0.927-1.077],1.000,,Clinical LDL Cholesterol
LDL-P,552,0.992 [0.924-1.064],1.000,,Concentration of LDL Particles
IDL-TG%,635,0.984 [0.924-1.049],1.000,,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-C%,642,0.976 [0.911-1.047],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,609,0.944 [0.888-1.003],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
