Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
GlycA,385,1.099 [1.058-1.140],0.186,,Glycoprotein Acetyls
S-HDL-FC,483,1.076 [1.046-1.107],0.114,,Free Cholesterol in Small HDL
M-HDL-TG,617,1.030 [1.011-1.049],1.000,,Triglycerides in Medium HDL
XL-VLDL-FC,610,1.008 [0.988-1.029],1.000,,Free Cholesterol in Very Large VLDL
L-HDL-PL,598,1.004 [0.992-1.016],1.000,,Phospholipids in Large HDL
ApoB,565,0.999 [0.983-1.016],1.000,,Apolipoprotein B
M-HDL-C%,632,0.999 [0.982-1.016],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,547,0.997 [0.983-1.011],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-FC%,609,0.994 [0.980-1.009],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
Acetoacetate,15,0.990 [0.851-1.152],1.000,,Acetoacetate
