Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.219 [1.136-1.308],0.008,**,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-CE,607,1.176 [1.111-1.245],0.005,**,Cholesteryl Esters in Medium HDL
L-HDL-CE%,562,1.170 [1.106-1.237],0.011,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-C%,632,1.156 [1.098-1.216],0.006,**,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-CE,611,1.154 [1.096-1.216],0.016,*,Cholesteryl Esters in HDL
L-VLDL-P,622,0.866 [0.820-0.913],0.033,*,Concentration of Large VLDL Particles
XL-VLDL-PL,607,0.862 [0.817-0.911],0.023,*,Phospholipids in Very Large VLDL
TG/PG,632,0.861 [0.816-0.910],0.023,*,Triglycerides to Phosphoglycerides ratio
XL-VLDL-P,599,0.860 [0.815-0.908],0.014,*,Concentration of Very Large VLDL Particles
XL-VLDL-L,578,0.857 [0.811-0.906],0.011,*,Total-Lipids in Very Large VLDL
L-VLDL-TG,567,0.854 [0.807-0.904],0.011,*,Triglycerides in Large VLDL
M-HDL-PL%,489,0.823 [0.774-0.875],1.098e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
