Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,375,1.073 [1.006-1.145],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
LA%,226,1.017 [0.956-1.083],1.000,,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-L,623,1.015 [0.973-1.058],1.000,,Total-Lipids in Large HDL
M-HDL-P,598,1.004 [0.957-1.055],1.000,,Concentration of Medium HDL Particles
L-HDL-TG,449,1.004 [0.970-1.039],1.000,,Triglycerides in Large HDL
L-VLDL-CE%,492,0.935 [0.884-0.988],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-VLDL-FC%,609,0.926 [0.882-0.972],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC,474,0.891 [0.844-0.942],1.000,,Free Cholesterol in Large LDL
IDL-CE,553,0.885 [0.840-0.931],0.712,,Cholesteryl Esters in IDL
S-VLDL-CE%,509,0.881 [0.839-0.926],0.139,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
