Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-C,535,1.044 [0.994-1.097],1.000,,Cholesterol in Medium VLDL
M-VLDL-PL%,523,1.032 [0.982-1.083],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-P,505,1.025 [0.976-1.075],1.000,,Concentration of IDL Particles
M-VLDL-FC%,574,1.024 [0.973-1.077],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-C,653,1.014 [0.971-1.059],1.000,,Cholesterol in Very Large HDL
XS-VLDL-TG%,661,0.978 [0.932-1.026],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,564,0.974 [0.927-1.023],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,444,0.967 [0.910-1.027],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
Leu,36,0.862 [0.683-1.087],1.000,,Leucine
Phe,17,0.761 [0.542-1.068],1.000,,Phenylalanine
