Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.215 [1.132-1.303],0.016,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA%,240,1.200 [1.140-1.263],6.693e-07,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,484,1.190 [1.132-1.251],2.633e-06,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,310,1.174 [1.130-1.221],1.056e-10,***,Degree of Unsaturation
DHA,289,1.171 [1.122-1.222],8.417e-08,***,Docosahexaenoic Acid
Omega-3%,215,1.142 [1.104-1.182],4.965e-09,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,1.127 [1.091-1.165],1.623e-07,***,Omega-3 Fatty Acids
S-HDL-TG%,677,0.888 [0.847-0.931],0.256,,Triglycerides to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,257,0.879 [0.849-0.909],2.990e-08,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,525,0.848 [0.811-0.887],8.066e-08,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,226,0.802 [0.738-0.871],0.045,*,Linoleic Acid to Total-Fatty Acids percentage
Tyr,120,0.719 [0.627-0.825],0.549,,Tyrosine
