Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-L,442,1.081 [1.046-1.117],0.804,,Total-Lipids in Small HDL
GlycA,385,1.044 [1.002-1.088],1.000,,Glycoprotein Acetyls
Omega-6/Omega-3,257,1.041 [1.025-1.056],0.047,*,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-VLDL-CE%,509,1.013 [0.989-1.038],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
LDL-L,502,1.011 [0.987-1.035],1.000,,Total-Lipids in LDL
IDL-L,573,0.999 [0.978-1.021],1.000,,Total-Lipids in IDL
Omega-3,420,0.971 [0.956-0.986],1.000,,Omega-3 Fatty Acids
Omega-3%,215,0.960 [0.946-0.975],0.019,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.950 [0.932-0.968],0.013,*,Degree of Unsaturation
DHA%,240,0.938 [0.915-0.962],0.165,,Docosahexaenoic Acid to Total-Fatty Acids percentage
