Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-P,633,1.044 [0.996-1.095],1.000,,Concentration of Large HDL Particles
XXL-VLDL-PL,556,1.029 [0.966-1.097],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
Non-HDL-C,563,1.025 [0.974-1.079],1.000,,Total-Cholesterol Minus HDL-C
ApoB,565,1.018 [0.968-1.070],1.000,,Apolipoprotein B
HDL-FC,599,1.012 [0.958-1.070],1.000,,Free Cholesterol in HDL
VLDL-PL,674,0.995 [0.941-1.053],1.000,,Phospholipids in VLDL
VLDL-TG,582,0.993 [0.934-1.056],1.000,,Triglycerides in VLDL
PUFA,699,0.970 [0.922-1.021],1.000,,Polyunsaturated Fatty Acids
MUFA,654,0.951 [0.893-1.014],1.000,,Monounsaturated Fatty Acids
Phe,17,0.772 [0.556-1.071],1.000,,Phenylalanine
