Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
GlycA,385,1.570 [1.315-1.875],0.144,,Glycoprotein Acetyls
XL-HDL-FC%,547,1.080 [0.979-1.190],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,632,1.038 [0.928-1.161],1.000,,Triglycerides to Phosphoglycerides ratio
PC,606,1.023 [0.917-1.142],1.000,,Phosphatidylcholines
Total-L,626,1.004 [0.895-1.126],1.000,,Total-Lipids in Lipoprotein Particles
S-VLDL-C,618,0.985 [0.885-1.096],1.000,,Cholesterol in Small VLDL
M-LDL-C,525,0.971 [0.859-1.099],1.000,,Cholesterol in Medium LDL
S-LDL-CE,543,0.967 [0.858-1.090],1.000,,Cholesteryl Esters in Small LDL
XS-VLDL-CE%,644,0.904 [0.809-1.010],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Lactate,22,0.847 [0.434-1.651],1.000,,Lactate
