Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-C%,176,1.118 [1.071-1.168],0.106,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-C%,486,1.109 [1.072-1.146],4.265e-04,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,1.106 [1.070-1.144],6.090e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-FC%,397,1.097 [1.059-1.137],0.085,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,492,1.089 [1.056-1.123],0.012,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-P,541,0.992 [0.964-1.021],1.000,,Concentration of Large LDL Particles
S-LDL-CE%,545,0.937 [0.912-0.963],0.640,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
MUFA,654,0.934 [0.910-0.958],0.039,*,Monounsaturated Fatty Acids
XXL-VLDL-TG,472,0.930 [0.902-0.958],0.386,,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG%,444,0.902 [0.871-0.933],0.001,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
