Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-PL%,508,1.129 [1.058-1.204],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
VLDL-size,604,1.055 [0.997-1.115],1.000,,Average Diameter for VLDL Particles
XXL-VLDL-TG,472,1.021 [0.953-1.093],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
VLDL-L,623,1.018 [0.959-1.082],1.000,,Total-Lipids in VLDL
S-LDL-CE%,545,1.015 [0.951-1.083],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Gly,134,0.991 [0.917-1.071],1.000,,Glycine
IDL-C,568,0.947 [0.897-1.000],1.000,,Cholesterol in IDL
Omega-3%,215,0.915 [0.885-0.946],0.048,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,289,0.901 [0.865-0.939],0.148,,Docosahexaenoic Acid
Unsaturation,310,0.897 [0.859-0.936],0.173,,Degree of Unsaturation
