Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Gly,134,1.189 [0.994-1.422],1.000,,Glycine
Ile,28,1.137 [0.482-2.683],1.000,,Isoleucine
Total-BCAA,38,1.099 [0.542-2.231],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-LDL-FC%,578,1.068 [0.954-1.195],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,661,1.014 [0.898-1.145],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-P,633,0.981 [0.883-1.089],1.000,,Concentration of Large HDL Particles
XS-VLDL-C%,642,0.961 [0.851-1.087],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-L,665,0.875 [0.781-0.981],1.000,,Total-Lipids in Small VLDL
LDL-PL,473,0.860 [0.756-0.979],1.000,,Phospholipids in LDL
PUFA,699,0.855 [0.767-0.954],1.000,,Polyunsaturated Fatty Acids
