Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetate,13,1.500 [0.967-2.325],1.000,,Acetate
S-HDL-CE%,367,1.038 [1.004-1.073],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
MUFA%,525,1.032 [0.990-1.076],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-CE,611,1.024 [0.983-1.067],1.000,,Cholesteryl Esters in HDL
M-LDL-TG%,456,1.007 [0.975-1.040],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-VLDL-PL%,600,0.989 [0.953-1.026],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-FC,587,0.983 [0.945-1.022],1.000,,Free Cholesterol in IDL
L-LDL-PL%,382,0.980 [0.929-1.035],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
XL-VLDL-C,639,0.940 [0.892-0.992],1.000,,Cholesterol in Very Large VLDL
XL-VLDL-PL%,398,0.920 [0.874-0.969],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
