Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,444,1.038 [1.009-1.067],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
IDL-TG%,635,1.028 [1.004-1.052],1.000,,Triglycerides to Total-Lipids in IDL percentage
XXL-VLDL-L,514,1.018 [0.990-1.046],1.000,,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-VLDL-P,622,1.007 [0.980-1.035],1.000,,Concentration of Large VLDL Particles
L-VLDL-L,609,1.006 [0.978-1.035],1.000,,Total-Lipids in Large VLDL
Unsaturation,310,0.986 [0.969-1.003],1.000,,Degree of Unsaturation
L-HDL-FC%,532,0.955 [0.937-0.973],0.386,,Free Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-C%,622,0.948 [0.928-0.969],0.308,,Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-PL%,600,0.947 [0.926-0.969],0.977,,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-FC%,332,0.932 [0.907-0.959],0.262,,Free Cholesterol to Total-Lipids in IDL percentage
