Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
GlycA,385,1.194 [1.107-1.287],0.905,,Glycoprotein Acetyls
LDL-TG,630,1.039 [0.999-1.081],1.000,,Triglycerides in LDL
S-LDL-TG,690,1.030 [0.984-1.077],1.000,,Triglycerides in Small LDL
S-HDL-C%,436,1.010 [0.972-1.050],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-PL%,367,1.003 [0.957-1.051],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-L,589,0.999 [0.953-1.047],1.000,,Total-Lipids in Medium VLDL
M-LDL-FC%,651,0.994 [0.953-1.036],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-C,563,0.980 [0.935-1.028],1.000,,Total-Cholesterol
LDL-CE,506,0.978 [0.933-1.026],1.000,,Cholesteryl Esters in LDL
S-LDL-FC%,578,0.971 [0.931-1.012],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
