Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-TG%,642,1.090 [1.060-1.120],2.585e-04,***,Triglycerides to Total-Lipids in Very Large HDL percentage
TG/PG,632,1.087 [1.054-1.121],0.026,*,Triglycerides to Phosphoglycerides ratio
XS-VLDL-TG%,661,1.086 [1.054-1.118],0.016,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,525,1.084 [1.054-1.114],0.003,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-TG,567,1.081 [1.050-1.113],0.043,*,Triglycerides in Large VLDL
S-HDL-TG,681,1.079 [1.051-1.109],0.004,**,Triglycerides in Small HDL
VLDL-size,604,1.079 [1.050-1.109],0.015,*,Average Diameter for VLDL Particles
L-HDL-C,671,0.928 [0.903-0.955],0.036,*,Cholesterol in Large HDL
XS-VLDL-CE%,644,0.925 [0.898-0.953],0.070,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,642,0.923 [0.897-0.951],0.022,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE%,597,0.918 [0.889-0.948],0.032,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,687,0.913 [0.886-0.940],3.655e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
