Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-size,178,1.224 [0.952-1.573],1.000,,Average Diameter for LDL Particles
Acetate,13,1.140 [0.387-3.360],1.000,,Acetate
M-HDL-C,607,1.127 [1.001-1.270],1.000,,Cholesterol in Medium HDL
IDL-L,573,1.043 [0.935-1.165],1.000,,Total-Lipids in IDL
Creatinine,126,1.002 [0.604-1.663],1.000,,Creatinine
XXL-VLDL-C%,176,0.988 [0.822-1.188],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-P,541,0.954 [0.852-1.069],1.000,,Concentration of Large LDL Particles
M-LDL-TG%,456,0.948 [0.858-1.048],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-FC,648,0.934 [0.828-1.052],1.000,,Free Cholesterol in Large VLDL
M-HDL-PL%,489,0.904 [0.794-1.030],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
